sku,name,description,price,spec_json
"AC000128","Silenciador (Montaje Conducto) 150mm","Reduce el ruido en la red de conductos.",70.00,"{""Tipo"": ""Accesorio"", ""Función"": ""Reducción Ruido"", ""Tamaño_mm"": 150}"
"AC000129","Compuerta Antirretorno 200mm","Evita el flujo de aire inverso.",25.00,"{""Tipo"": ""Compuerta"", ""Función"": ""Prevención Tiro Inverso"", ""Tamaño_mm"": 200}"
"AC000130","Rejilla de Aire (Impulsión) 300x300","Rejilla de impulsión de aire para paredes/techos.",15.00,"{""Tipo"": ""Rejilla Aire"", ""Aplicación"": ""Impulsión Aire"", ""Tamaño_mm"": ""300x300""}"
"AC000131","Rejilla de Aire (Extracción) 250x250","Rejilla de extracción de aire.",12.00,"{""Tipo"": ""Rejilla Aire"", ""Aplicación"": ""Extracción Aire"", ""Tamaño_mm"": ""250x250""}"
"AC000132","Sensor de CO2 (Habitación)","Mide los niveles de Dióxido de Carbono.",100.00,"{""Tipo"": ""Sensor CO2"", ""Parámetro"": ""CO2"", ""Rango_ppm"": ""0-2000"", ""Salida"": ""0-10V""}"
"AC000133","Purificador de Aire (HEPA + Carbón)","Elimina partículas y olores del aire.",150.00,"{""Tipo"": ""Purificador Aire"", ""Filtración"": [""HEPA"", ""Carbón Activado""], ""Cobertura_sqft"": 300}"
"AC000134","Deshumidificador 20L/día","Reduce la humedad en el aire interior.",200.00,"{""Tipo"": ""Deshumidificador"", ""Capacidad_L/día"": 20, ""TamañoDepósito_L"": 4}"
"AC000135","Humidificador (Evaporativo)","Añade humedad al aire interior.",80.00,"{""Tipo"": ""Humidificador"", ""Método"": ""Evaporativo"", ""Cobertura_sqft"": 500}"
"AC000136","Filtro Control Olores (Carbón Activado)","Filtro para eliminar olores.",40.00,"{""Tipo"": ""Filtro"", ""Material"": ""Carbón Activado"", ""Aplicación"": ""Control Olores""}"
"AC000137","Esterilizador Aire UV-C (Montaje Conducto)","Utiliza luz UV-C para matar patógenos en el aire.",180.00,"{""Tipo"": ""Esterilizador Aire"", ""Método"": ""UV-C"", ""Montaje"": ""Conducto""}"
"AC000138","Ventilador para Campana de Cocina (Extractor)","Ventilador para campana extractora de cocina.",90.00,"{""Tipo"": ""Ventilador"", ""Aplicación"": ""Campana Cocina"", ""FlujoAire_m3/h"": 600}"
"AC000139","Extractor de Baño 100mm","Ventilador para ventilación de baño.",40.00,"{""Tipo"": ""Ventilador"", ""Aplicación"": ""Extracción Baño"", ""Tamaño_mm"": 100, ""FlujoAire_m3/h"": 100}"
"AC000140","Filtro en Línea (Filtro de Bolsas) F7","Filtro de bolsas de eficiencia media para sistemas de ventilación.",75.00,"{""Tipo"": ""Filtro"", ""Clasificación"": ""F7"", ""Aplicación"": ""Ventilación""}"
"AC000141","Tubería de Cobre 15mm (5m)","Tubería de cobre estándar para fontanería/calefacción.",25.00,"{""Material"": ""Cobre"", ""Diámetro_mm"": 15, ""Longitud_m"": 5}"
"AC000142","Tubería PEX 20mm (50m)","Tubería PEX flexible.",70.00,"{""Material"": ""PEX"", ""Diámetro_mm"": 20, ""Longitud_m"": 50}"
"AC000143","Codo de Compresión 15mm","Racor de latón para cambiar la dirección de la tubería.",5.00,"{""Tipo"": ""Racor"", ""Conexión"": ""Compresión"", ""Tamaño_mm"": 15, ""Ángulo_grados"": 90}"
"AC000144","Te Roscada 1 pulgada (Hembra)","Racor de latón tipo Te.",8.00,"{""Tipo"": ""Racor"", ""Conexión"": ""Roscada Hembra"", ""Tamaño"": ""1 pulgada"", ""Configuración"": ""Te""}"
"AC000145","Aislamiento Tubería (Espuma) 22mm (2m)","Aislamiento de espuma para tuberías.",3.00,"{""Tipo"": ""Aislamiento"", ""Material"": ""Espuma"", ""DiámetroTubería_mm"": 22, ""Longitud_m"": 2}"
"AC000146","Abrazadera Tubería 15mm (Bolsa de 20)","Abrazaderas para fijar tuberías.",10.00,"{""Tipo"": ""Accesorio"", ""Aplicación"": ""Soporte Tubería"", ""Tamaño_mm"": 15, ""Cantidad"": 20}"
"AC000147","Válvula Radiador (Manual, Angular) 1/2 pulgada","Válvula manual para controlar el flujo del radiador.",15.00,"{""Tipo"": ""Válvula Radiador"", ""Aplicación"": ""Radiador"", ""Control"": ""Manual"", ""Estilo"": ""Angular"", ""Tamaño"": ""1/2 pulgada""}"
"AC000148","Válvula Radiador (Termostática, Recta) 1/2 pulgada","Válvula termostática para control de temperatura del radiador.",25.00,"{""Tipo"": ""Válvula Radiador"", ""Aplicación"": ""Radiador"", ""Control"": ""Termostático"", ""Estilo"": ""Recto"", ""Tamaño"": ""1/2 pulgada""}"
"AC000149","Latiguillo Flexible 1/2 pulgada x 300mm","Conector flexible para fontanería.",6.00,"{""Tipo"": ""Conector"", ""Tamaño"": ""1/2 pulgada"", ""Longitud_mm"": 300}"
"AC000150","Filtro Agua (Sedimentos) 10 pulgadas","Cartucho de filtro para eliminación de sedimentos.",12.00,"{""Tipo"": ""Filtro"", ""Función"": ""Eliminación Sedimentos"", ""Tamaño_pulgadas"": 10, ""ClasificacionMicras"": 5}"
